Prediction,Ground Truth,CER,WER
"Thử thường, Bộ tài nguyên và môi trường Đảng Hùng Võ đãn đạo về:",Thứ trưởng Bộ Tài nguyên & môi trường Đặng Hùng Võ tâm đắc với,0.24193548387096775,0.5714285714285714
"có thể ""khuyến khích mua sắm từ thỏa thuận với những sản phẩm đặc thù nhân","cơ chế "" khuyến khích nhà đầu tư thỏa thuận với người sử dụng đất để nhận",0.3698630136986301,0.7647058823529411
"chuyển những hoặc thực quyết sử dụng đất, nhân góp vốn bảng quyết sử","chuyển nhượng hoặc thuê quyền sử dụng đất, nhận góp vốn bằng quyền sử",0.14492753623188406,0.42857142857142855
"dùng đặt ... "" Nhưng tại hôm ngày hôm qua, tiếng nói: hứ cái gì đó từ ngày","dụng đất... "" Nhưng tại hội nghị hôm qua, tiếng nói từ các sở tài nguyên",0.2916666666666667,0.75
"và mới truyền lên thêm hành ""boi"" ở tiên chuẩn này ra lệch dù tháo.","& môi trường lại đều đồng thanh "" loại bỏ "" điều khoản này ra khỏi dự thảo.",0.5066666666666667,0.8888888888888888
giám đốc Sở Tài nguyên và môi trường Hải phòng chụm Minh Tuân’ che,Giám đốc Sở Tài nguyên & môi trường Hải Phòng Chu Minh Tuấn cho,0.15873015873015872,0.42857142857142855
"biết thành phố can gửi ủng ủp dùng cô chế ""hoa"" thành ""trong mỗi sĩ""","biết thành phố cảng từng áp dụng cơ chế "" thỏa thuận "" trong một số",0.31343283582089554,0.8125
"ما ""نعويض"" الذي يذكرها ""فيما هو في حاله"" و""من غير ما""","rất ít trường hợp, vậy mà đã gây phản ứng theo kiểu dây chuyền khá",0.8636363636363636,1.0
"mạnh : anh này nhìn trên rồi quay lại đôi nửa, anh lười thưa thưa.","mạnh : anh này nhận tiền rồi quay lại đòi nữa, anh kia thỏa thuận",0.2,0.4666666666666667
xong quay ra đời thoả thuận lại...,xong quay ra đòi thỏa thuận lại...,0.08823529411764706,0.2857142857142857
"clima lúc ấy đã có một người đã nói chuyện ""với nhau như","Chưa kể để doanh nghiệp và người dân "" nói chuyện "" với nhau như",0.453125,0.6666666666666666
سئو، گوشی کا دکم قوانین کا دکم قوانین کا دکم قوانین کا د کوم قوانین کا دکم قوانین کا دکم قوانین,"vậy, quyền của cơ quan quản lý nhà nước sẽ mất đi. "" Tôi cũng có suy",1.161764705882353,1.2352941176470589
