Prediction,Ground Truth,CER,WER
Thứ trước Bộ tàu nguyên và mới trước Đặng Hùng vô tận đại về.,Thứ trưởng Bộ Tài nguyên & môi trường Đặng Hùng Võ tâm đắc với,0.3064516129032258,0.6428571428571429
"có thể "" khuyến khích mua đất từ thỏa thuận với người sử đã đã đến","cơ chế "" khuyến khích nhà đầu tư thỏa thuận với người sử dụng đất để nhận",0.273972602739726,0.5294117647058824
"chuyên những hoặc thực quyết sử dụng đất, nhân góp vốn bảng quyết sử dụng đất, nhân góp vốn bảng quyền sở.","chuyển nhượng hoặc thuê quyền sử dụng đất, nhận góp vốn bằng quyền sử",0.6811594202898551,1.0714285714285714
"dụng đột... "" Nhưng tại hồi nghị hôm qua, tiếng nói: Họ cã sở tù nguyện","dụng đất... "" Nhưng tại hội nghị hôm qua, tiếng nói từ các sở tài nguyên",0.1388888888888889,0.4375
"và mới trồng lên thêm năm "" loại bỏ "" điều khoản này ra lệch để tháo.","& môi trường lại đều đồng thanh "" loại bỏ "" điều khoản này ra khỏi dự thảo.",0.36,0.5555555555555556
giảm đối Sở tài nguyên và môi trường Hải Phòng chưa Minh Tuấn cho,Giám đốc Sở Tài nguyên & môi trường Hải Phòng Chu Minh Tuấn cho,0.14285714285714285,0.35714285714285715
"biết thành phố cảng đứng ở dưng cố chế "" hoạt động "" trong một số","biết thành phố cảng từng áp dụng cơ chế "" thỏa thuận "" trong một số",0.208955223880597,0.375
"rất ít trường hợp, vẫn mà đã gặp phải vì lẽ theo kiểu đây có nghĩa là","rất ít trường hợp, vậy mà đã gây phản ứng theo kiểu dây chuyền khá",0.3181818181818182,0.6
"mạnh : anh này nhân triển rồi quay lại đời nữa, anh lựa thoi thuận.","mạnh : anh này nhận tiền rồi quay lại đòi nữa, anh kia thỏa thuận",0.13846153846153847,0.4
xông quay ra đôi thoái thuần lái...,xong quay ra đòi thỏa thuận lại...,0.20588235294117646,0.7142857142857143
"chưa lấy đều doanh nghiệp và nguồn dân "" nói chuyện "" với nhau như","Chưa kể để doanh nghiệp và người dân "" nói chuyện "" với nhau như",0.140625,0.26666666666666666
"vậy, quyết của cơ quan quản lý nhà nước sẽ mất đi "". Tôi cũng có sự","vậy, quyền của cơ quan quản lý nhà nước sẽ mất đi. "" Tôi cũng có suy",0.08823529411764706,0.23529411764705882
"nghị như đường chối "" Bộ được qui định này để thôi. Cũng một lúc chúng","nghĩ như đồng chí "" Bỏ được qui định này đi thì tốt. Cùng một lúc chúng",0.18309859154929578,0.47058823529411764
